what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348704644173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348704679175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348704687022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348704733531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348704742186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348704800363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348704804671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348704968225
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348704968241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348704969812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348704973598
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1348704978683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705047602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705048810
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705053431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705058535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705067313
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705075813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705076888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348705080278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705081262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348705081268
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705085521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348705097081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348705098387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705100903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705154745
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705154760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705155918
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705158314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705159830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705185549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705185561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705186997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348705191544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705192532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348705192540
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705196260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348705201094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348705203171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705204159
error,log,,,"Core exception while retrieving the content description",1348705263930
error,log,,,"Core exception while retrieving the content description",1348705263933
error,log,,,"Core exception while retrieving the content description",1348705263937
error,log,,,"Core exception while retrieving the content description",1348705263939
error,log,,,"Core exception while retrieving the content description",1348705263942
error,log,,,"Core exception while retrieving the content description",1348705263971
error,log,,,"Core exception while retrieving the content description",1348705263974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705269120
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705269134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705270460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705271702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705272160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705272353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705272541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705273420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705277331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705311909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705315335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705322756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705324066
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348705327031
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705327697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705332367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705341652
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705341664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705342802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348705346536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705347191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348705347199
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705348852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348705354152
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348705355328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705356365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705824531
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705824548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348705825970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705839060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348705842752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705843598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348705843605
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705846161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348705851531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348705852849
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348705869423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705871289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1348705874636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348705875830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348705875836
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348705877521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348705889294
